Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
SMBJ15A,D_IN,Littelfuse_SMBJ15A_SMB_Exact,C83846,1,5,155,18023,OK,C83846,expand,18028,SMBJ15A,Littelfuse,DO-214AA,0.131
SN74LVC1G123DCTR,U_RST2,SSOP-8_2.95x2.8mm_P0.65mm,C123302,1,5,155,7299,OK,C123302,expand,7304,SN74LVC1G123DCTR,Texas Instruments,SSOP-8,0.7646
SN74LVC1G125DBVR,U_TDM,SOT-23-5,C23654,1,5,155,71484,OK,C23654,expand,71489,SN74LVC1G125DBVR,Texas Instruments,SOT-23-5,0.1281
SN74LVC3G34DCUR,U_CLK,VSSOP-8_2.3x2mm_P0.5mm,C130024,1,5,155,780,OK,C130024,expand,785,SN74LVC3G34DCUR,Texas Instruments,VSSOP-8,0.5076
TMUX2821DSGR,"U_ISO1,U_ISO2,U_ISO3,U_ISO4,U_ISO5,U_ISO6,U_ISO7,U_ISO8",TI_DSG0008A_Exact,C53283916,8,40,190,-24,LOW_STOCK(16),C53283916,expand,16,TMUX2821DSGR,Texas Instruments,SON-8(2x2),1.3144
TPD2E2U06DRLR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD5,U_ESD6,U_ESD7,U_ESD8",SOT-553,C1972959,8,40,190,8923,OK,C1972959,expand,8963,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3226
TPS3839K33DBZR,U_RST1,SOT-23,C96333,1,5,155,788,OK,C96333,expand,793,TPS3839K33DBZR,Texas Instruments,SOT-23,0.7874
TPS389001DSER,"U_AUDIO,U_PWR",TI_DSE0006A_GNDToe018,C1509297,2,10,160,588,OK,C1509297,expand,598,TPS389001DSER,Texas Instruments,WSON-6(1.5x1.5),1.6934
US1B-13-F,D_BUCK_IN,D_SMA,C154439,1,5,155,21426,OK,C154439,expand,21431,US1B-13-F,Diodes Incorporated,SMA,0.1012
XGL4020-332MEC,L_BUCK,Coilcraft_XGL4020_Exact,C6937839,1,5,155,1495,OK,C6937839,expand,1500,XGL4020-332MEC,Coilcraft,"SMD,4x4mm",10.2547
